Salary,DOJ,Designation,JobCity,Gender,DOB,10percentage,10board,12graduation,12percentage,12board,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience
420000,2012-06-01,senior quality engineer,Bangalore,f,1990-02-19,84.3,state,2007,95.8,state,2,B.Tech/B.E.,computer engineering,78.0,0,Andhra Pradesh,2011,515,585,525,0.635978756456794,445,-1,-1,-1,-1,-1,-1,0.9737,0.8128,0.5269,1.3549,-0.4455
500000,2013-09-01,assistant manager,Indore,m,1989-10-04,85.4,cbse,2007,85.0,cbse,2,B.Tech/B.E.,electronics and communication engineering,70.06,0,Madhya Pradesh,2012,695,610,780,0.960603251997053,-1,466,-1,-1,-1,-1,-1,-0.7335,0.3789,1.2396,-0.1076,0.8637
325000,2014-06-01,systems engineer,Chennai,f,1992-08-03,85.0,cbse,2010,68.2,cbse,2,B.Tech/B.E.,information technology,70.0,0,Uttar Pradesh,2014,615,545,370,0.450876584483451,395,-1,-1,-1,-1,-1,-1,0.2718,1.7109,0.1637,-0.8682,0.6721
1100000,2011-07-01,senior software engineer,Gurgaon,m,1989-12-05,85.6,cbse,2007,83.6,cbse,1,B.Tech/B.E.,computer engineering,74.64,1,Delhi,2011,635,585,625,0.974396112538398,615,-1,-1,-1,-1,-1,-1,0.0464,0.3448,-0.344,-0.4078,-0.9194
200000,2014-03-01,get,Manesar,m,1991-02-27,78.0,cbse,2008,76.8,cbse,2,B.Tech/B.E.,electronics and communication engineering,73.9,0,Uttar Pradesh,2012,545,625,465,0.124502074009537,-1,233,-1,-1,-1,-1,-1,-0.880999999999999,-0.2793,-1.0697,0.0916299999999999,-0.1295
300000,2014-06-01,system engineer,Hyderabad,m,1992-07-02,89.92,state,2010,87.0,state,2,B.Tech/B.E.,electronics and communication engineering,76.32,0,Karnataka,2014,560,555,620,-1.0,645,-1,407,-1,-1,-1,-1,-0.3027,-0.6201,-2.2954,-0.7415,-0.8608
300000,2014-08-01,java software engineer,Banglore,m,1993-02-01,86.08,state,2010,67.5,state,2,B.Tech/B.E.,computer science & engineering,72.98,1,Karnataka,2014,590,435,380,0.356536487724475,405,-1,346,-1,-1,-1,-1,1.7081,-0.1054,-1.0379,-2.0092,-1.0872
400000,2014-07-01,mechanical engineer,Bangalore,m,1992-05-27,92.0,cbse,2010,91.0,cbse,1,B.Tech/B.E.,mechanical engineering,8.58,0,Tamil Nadu,2016,545,555,590,0.829584599793067,-1,-1,-1,469,-1,-1,-1,-0.0154,1.2114,0.01,0.1459,1.247
600000,2013-07-01,electrical engineer,Noida,m,1991-09-17,90.0,cbse,2009,91.2,cbse,1,B.Tech/B.E.,electronics and electrical engineering,85.03,1,Delhi,2013,615,670,530,0.694479327708463,735,366,-1,-1,-1,-1,-1,-0.159,0.5454,-0.6048,-0.7415,-0.2859
230000,2014-07-01,project engineer,Kolkata,m,1993-06-13,77.0,cbse,2010,72.2,cbse,2,B.Tech/B.E.,electronics and communication engineering,78.0,1,West Bengal,2014,605,565,545,0.493596387301038,385,324,-1,-1,-1,-1,-1,-1.308,0.5454,-0.9122,0.9066,0.0973
600000,2011-04-01,senior php developer,Bangalore,m,1989-06-24,88.6,state,2006,83.7,state,2,B.Tech/B.E.,computer engineering,74.9,0,Madhya Pradesh,2010,565,455,565,0.765673581234011,485,-1,-1,-1,-1,-1,-1,0.0464,0.8128,0.0914,0.1798,0.0284
450000,2011-08-01,senior systems engineer,Pune,m,1990-02-10,81.0,cbse,2007,86.0,cbse,1,B.Tech/B.E.,information technology,72.29,0,Madhya Pradesh,2011,495,605,715,0.968237495890543,605,-1,-1,-1,-1,-1,-1,-2.272,1.1248,0.8171,-0.4078,-0.4455
270000,2013-12-01,quality assurance engineer,Pune,m,1990-11-21,83.6,state,2008,69.83,state,2,B.Tech/B.E.,electronics & telecommunications,60.0,0,Maharashtra,2013,380,580,470,0.229481754911755,-1,266,-1,-1,-1,206,-1,0.1282,0.5454,-0.7585,-0.995,0.8637
200000,2014-01-01,qa analyst,Gurgaon,m,1990-10-23,60.8,cbse,2008,62.4,cbse,2,B.Tech/B.E.,electronics and communication engineering,60.0,0,Haryana,2012,495,425,645,0.538386892985096,385,333,-1,-1,-1,-1,-1,0.3555,0.0328,-0.598,-0.2902,-1.2354
300000,2013-07-01,java software engineer,Bangalore,m,1992-07-02,81.2,state,2008,79.9,state,2,B.Tech/B.E.,instrumentation and control engineering,67.67,0,Uttar Pradesh,2013,395,565,645,-1.0,495,-1,376,-1,-1,-1,-1,0.7027,0.7119,0.01,-0.995,0.6721
350000,2013-08-01,network engineer,-1,f,1990-01-17,69.54,icse,2008,64.43,icse,2,B.Tech/B.E.,information technology,63.0,0,Uttar Pradesh,2012,485,520,355,0.308400582860308,355,-1,-1,-1,-1,-1,-1,1.7465,1.9048,0.672,-0.2902,1.2528
325000,2014-09-01,product development engineer,Noida,m,1992-06-10,85.8,cbse,2010,74.8,cbse,2,B.Tech/B.E.,electronics and communication engineering,64.8,0,Uttar Pradesh,2014,685,530,620,-1.0,515,-1,-1,-1,-1,-1,-1,1.1336,1.0449,0.7785,-0.6147,-0.8608
